location,facilities,
Kuala Lumpur  Bangsar South,,
Kuala Lumpur  Wangsa Maju,,Near KTM/LRT
Kuala Lumpur  Wangsa Maju,"Parking, Security, Lift, Playground, Minimart, Multipurpose hall",", "
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Squash Court",", , Near KTM/LRT, "
Kuala Lumpur  Wangsa Maju,"Parking, Playground, Gymnasium, Club house, Jogging Track, Squash Court, Multipurpose hall, Minimart, Barbeque area",", Near KTM/LRT"
Kuala Lumpur  Pandan Perdana,"Tennis Court, Lift, Minimart, Squash Court, Jogging Track, Parking, Security, Playground, Swimming Pool, Gymnasium",", , , "
Kuala Lumpur  Desa Pandan,"Parking, Jogging Track, Playground, Gymnasium, Security, Swimming Pool, Minimart, Lift",
Kuala Lumpur  Jalan Sultan Ismail,"Playground, Gymnasium, Swimming Pool, Squash Court, Parking",", , "
Kuala Lumpur  Sentul,"Security, Minimart, Parking",
Kuala Lumpur  Mont Kiara,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Cheras,"Playground, Jogging Track, Security, Minimart, Swimming Pool, Parking, Lift, Gymnasium, Barbeque area, Multipurpose hall",", , "
Kuala Lumpur  Kepong,"Jogging Track, Multipurpose hall, Parking, Minimart, Sauna, Club house, Swimming Pool, Gymnasium, Security, Playground, Lift, Barbeque area",", Near KTM/LRT"
Kuala Lumpur  Keramat,"Playground, Parking, Jogging Track",
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Old Klang Road,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Sauna, Minimart, Multipurpose hall, Jogging Track",", , Near KTM/LRT, "
Kuala Lumpur  Old Klang Road,"Security, Jogging Track, Parking, Gymnasium, Barbeque area, Swimming Pool, Sauna, Minimart, Playground, Multipurpose hall, Lift",", , Near KTM/LRT, "
Kuala Lumpur  Pudu,"Parking, Squash Court, Gymnasium, Barbeque area, Sauna, Security, Playground, Swimming Pool, Tennis Court",
Kuala Lumpur  Jalan Kuching,"Minimart, Sauna, Swimming Pool, Tennis Court, Jogging Track, Gymnasium, Barbeque area, Security, Playground, Parking, Lift",", "
Kuala Lumpur  Segambut,"Jogging Track, Gymnasium, Parking, Sauna, Security, Playground, Swimming Pool",
Kuala Lumpur  Sri Damansara,"Minimart, Jogging Track, Barbeque area, Club house, Swimming Pool, Sauna, Parking, Security, Playground",
Kuala Lumpur  Sri Damansara,"Minimart, Jogging Track, Barbeque area, Club house, Swimming Pool, Sauna, Parking, Security, Playground",
Kuala Lumpur  Jalan Kuching,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Bukit Jalil,"Parking, Security, Lift",", , Near KTM/LRT, , "
Kuala Lumpur  Bangsar South,"Swimming Pool, Jogging Track, Parking, Security, Minimart",", Near KTM/LRT"
Kuala Lumpur  Cheras,"Minimart, Gymnasium, Playground, Sauna, Security",
Kuala Lumpur  Setiawangsa,,
Kuala Lumpur  Cheras,,
Kuala Lumpur  Cheras,"Security, Minimart, Swimming Pool, Parking, Gymnasium, Barbeque area, Playground, Lift, Multipurpose hall",", Near KTM/LRT"
Kuala Lumpur  Cheras,"Security, Playground, Parking, Lift, Minimart",", Near KTM/LRT"
Kuala Lumpur  Setapak,"Minimart, Tennis Court, Jogging Track, Gymnasium, Lift, Security, Playground, Swimming Pool, Parking, Squash Court",", , Near KTM/LRT, "
Kuala Lumpur  Desa Pandan,"Minimart, Playground, Gymnasium, Jogging Track, Security, Swimming Pool, Parking",
Kuala Lumpur  Desa Pandan,"Parking, Security, Minimart, Swimming Pool, Playground, Gymnasium, Jogging Track",
Kuala Lumpur  Cheras,"Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Security, Swimming Pool, Playground",", Near KTM/LRT, "
Kuala Lumpur  Cheras,"Parking, Jogging Track, Minimart, Security",
Kuala Lumpur  Ampang,"Jogging Track, Lift, Playground, Minimart",
Kuala Lumpur  Cheras,"Parking, Security, Lift, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",
Kuala Lumpur  Cheras,,
Kuala Lumpur  Sentul,"Barbeque area, Swimming Pool, Security, Minimart, Playground, Parking, Lift, Gymnasium, Multipurpose hall, Jogging Track",
Kuala Lumpur  Taman Desa,"Swimming Pool, Gymnasium, Parking, Security, Barbeque area, Sauna, Minimart, Jogging Track, Lift",", , Near KTM/LRT, , "
Kuala Lumpur  Jalan Sultan Ismail,"Playground, Gymnasium, Parking, Swimming Pool, Squash Court, Security, Lift, Minimart",", , , Near KTM/LRT"
Kuala Lumpur  Old Klang Road,,", , Near KTM/LRT, "
Kuala Lumpur  Jalan Ipoh,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart",", , Near KTM/LRT"
Kuala Lumpur  Kuchai Lama,"Swimming Pool, Multipurpose hall, Security, Sauna, Gymnasium, Parking, Lift, Playground, Barbeque area",
Kuala Lumpur  Sentul,,
Kuala Lumpur  Bukit Jalil,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Bukit Jalil,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Segambut,"Gymnasium, Playground, Barbeque area, Sauna, Swimming Pool, Jogging Track, Parking, Security",", "
Kuala Lumpur  Cheras,"Parking, Security, Playground, Lift, Minimart",", , Near KTM/LRT"
Kuala Lumpur  Cheras,"Minimart, Playground, Parking, Lift, Security",Near KTM/LRT
Kuala Lumpur  Ampang,"Playground, Swimming Pool, Sauna, Parking, Minimart, Jogging Track, Lift, Security, Gymnasium, Squash Court",
Kuala Lumpur  Bukit Bintang,"Playground, Gymnasium, Barbeque area, Sauna, Parking, Security, Swimming Pool",
Kuala Lumpur  Sungai Besi,"Security, Playground, Gymnasium, Parking, Swimming Pool, Multipurpose hall, Lift",", , Near KTM/LRT"
Kuala Lumpur  Kepong,"Security, Minimart, Parking, Lift",
Kuala Lumpur  Jalan Kuching,"Barbeque area, Swimming Pool, Sauna, Minimart, Tennis Court, Parking, Security, Playground, Gymnasium, Lift, Squash Court, Club house, Multipurpose hall, Jogging Track",", , "
Kuala Lumpur  Cheras,"Parking, Jogging Track, Barbeque area, Security, Swimming Pool, Lift, Multipurpose hall, Playground, Tennis Court",", , Near KTM/LRT"
Kuala Lumpur  Sentul,"Security, Minimart, Playground, Jogging Track, Gymnasium, Club house, Multipurpose hall, Parking, Squash Court, Lift, Swimming Pool, Barbeque area",", "
Kuala Lumpur  Cheras,"Security, Minimart, Swimming Pool, Parking, Gymnasium, Barbeque area, Playground",
Kuala Lumpur  Sentul,"Parking, Security, Lift, Playground, Minimart, Multipurpose hall, Jogging Track",", , Near KTM/LRT, "
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall",", Near KTM/LRT, "
Kuala Lumpur  Sentul,"Jogging Track, Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall",
Kuala Lumpur  Keramat,"Parking, Lift, Playground, Minimart",", Near KTM/LRT, "
Kuala Lumpur  OUG,"Parking, Security, Squash Court, Swimming Pool, Playground, Sauna, Minimart",", , Near KTM/LRT, "
Kuala Lumpur  Jalan Kuching,"Playground, Gymnasium, Minimart, Sauna, Swimming Pool, Parking, Security, Lift, Multipurpose hall, Barbeque area, Squash Court",", , "
Kuala Lumpur  Setapak,"Lift, Security, Parking, Gymnasium, Swimming Pool, Playground, Multipurpose hall","Near KTM/LRT, "
Kuala Lumpur  Bangsar South,"Parking, Minimart, Swimming Pool, Jogging Track, Security",", Near KTM/LRT"
Kuala Lumpur  Mont Kiara,"Minimart, Playground, Barbeque area, Multipurpose hall, Swimming Pool, Parking, Security, Tennis Court, Sauna, Gymnasium, Squash Court",", Near KTM/LRT, "
Kuala Lumpur  Ampang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",", , Near KTM/LRT, "
Kuala Lumpur  Bukit Jalil,"Security, Parking, Gymnasium, Playground, Multipurpose hall",
Kuala Lumpur  Sentul,,
Kuala Lumpur  Sentul,,
Kuala Lumpur  Cheras,"Swimming Pool, Gymnasium, Security, Parking",", , Near KTM/LRT, "
Kuala Lumpur  Bukit Jalil,"Swimming Pool, Gymnasium, Security, Playground, Parking",
Kuala Lumpur  Setapak,"Playground, Gymnasium, Security, Swimming Pool, Multipurpose hall, Parking, Lift, Barbeque area, Minimart",", , Near KTM/LRT"
Kuala Lumpur  Sentul,"Minimart, Parking, Security, Lift, Playground, Jogging Track, Multipurpose hall",Near KTM/LRT
Kuala Lumpur  Sentul,"Parking, Security, Lift, Playground, Minimart, Jogging Track",", , Near KTM/LRT"
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Minimart, Multipurpose hall",", Near KTM/LRT"
Kuala Lumpur  Cheras,"Playground, Gymnasium, Security, Minimart, Sauna, Lift, Parking, Swimming Pool",", "
Kuala Lumpur  Bangsar South,"Swimming Pool, Parking, Playground, Security, Gymnasium, Minimart",", Near KTM/LRT, , , "
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT"
Kuala Lumpur  Setapak,"Multipurpose hall, Parking, Security, Jogging Track, Swimming Pool, Gymnasium, Barbeque area",
Kuala Lumpur  Setapak,"Squash Court, Lift, Minimart, Jogging Track, Parking, Security, Playground, Gymnasium, Tennis Court, Swimming Pool",
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Multipurpose hall",", Near KTM/LRT"
Kuala Lumpur  Wangsa Maju,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Barbeque area, Gymnasium, Jogging Track",", , Near KTM/LRT"
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Multipurpose hall",", Near KTM/LRT"
Kuala Lumpur  Wangsa Maju,,
Kuala Lumpur  KLCC,"Parking, Swimming Pool, Gymnasium, Tennis Court, Security, Jogging Track, Barbeque area, Multipurpose hall, Club house, Lift",", , , Near KTM/LRT"
Kuala Lumpur  Setapak,,
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area",", Near KTM/LRT, "
Kuala Lumpur  Cheras,"Gymnasium, Parking, Security, Swimming Pool, Jogging Track, Barbeque area, Playground, Lift, Sauna, Minimart, Multipurpose hall, Club house",", , Near KTM/LRT"
Kuala Lumpur  Mont Kiara,"Security, Swimming Pool, Playground, Sauna, Gymnasium, Tennis Court, Parking, Lift, Minimart, Barbeque area, Club house",", , "
Kuala Lumpur  Setapak,"Parking, Jogging Track, Security, Squash Court, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Club house",", , Near KTM/LRT, "
Kuala Lumpur  Desa Pandan,"Security, Playground, Swimming Pool, Lift, Parking, Gymnasium, Jogging Track, Sauna, Minimart, Multipurpose hall",", , "
Kuala Lumpur  Pudu,"Jogging Track, Tennis Court, Squash Court, Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Minimart, Multipurpose hall",", , Near KTM/LRT, "
Kuala Lumpur  Bangsar South,"Gymnasium, Minimart, Playground, Squash Court, Parking, Security, Swimming Pool, Lift, Barbeque area, Jogging Track",", , Near KTM/LRT, "
Kuala Lumpur  Taman Tun Dr Ismail,"Club house, Playground, Swimming Pool, Gymnasium, Squash Court, Sauna, Minimart, Barbeque area, Tennis Court, Security, Parking, Jogging Track, Lift, Multipurpose hall",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Parking, Security, Swimming Pool, Multipurpose hall, Lift, Playground, Jogging Track, Barbeque area, Minimart, Gymnasium",", , Near KTM/LRT, "
Kuala Lumpur  Kuchai Lama,"Parking, Security, Minimart, Playground, Swimming Pool, Lift",
Kuala Lumpur  Kepong,"Minimart, Parking, Lift",", Near KTM/LRT"
Kuala Lumpur  Kepong,"Parking, Security, Lift, Playground",", , "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Multipurpose hall",", Near KTM/LRT"
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Gymnasium",", , Near KTM/LRT, "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Multipurpose hall",", Near KTM/LRT, "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Multipurpose hall",", , Near KTM/LRT, "
Kuala Lumpur  Old Klang Road,"Parking, Minimart",
Kuala Lumpur  Cheras,Parking,
Kuala Lumpur  Bandar Menjalara,"Security, Playground, Swimming Pool, Parking, Gymnasium, Barbeque area, Lift, Minimart, Jogging Track",", , "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Gymnasium, Minimart, Multipurpose hall",", Near KTM/LRT, "
Kuala Lumpur  Setapak,,", , Near KTM/LRT, "
Kuala Lumpur  Bangsar South,"Playground, Squash Court, Swimming Pool, Minimart, Parking, Security, Gymnasium",", , "
Kuala Lumpur  Kepong,"Parking, Swimming Pool, Security, Minimart, Lift, Playground, Jogging Track",", , "
Kuala Lumpur  Cheras,"Tennis Court, Jogging Track, Minimart, Squash Court, Club house",", Near KTM/LRT, , "
Kuala Lumpur  Sentul,"Security, Minimart, Parking, Lift, Playground, Multipurpose hall, Jogging Track",", , Near KTM/LRT, , "
Kuala Lumpur  Wangsa Maju,"Barbeque area, Playground, Gymnasium, Squash Court, Sauna, Club house, Parking, Swimming Pool, Lift, Security",
Kuala Lumpur  Sentul,"Parking, Security, Minimart, Lift, Playground",", Near KTM/LRT, , "
Kuala Lumpur  Sentul,"Gymnasium, Swimming Pool, Playground, Barbeque area, Multipurpose hall, Parking, Security, Lift",", "
Kuala Lumpur  Mont Kiara,"Security, Parking, Gymnasium, Club house, Swimming Pool, Lift, Playground, Multipurpose hall",", , "
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall",
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Gymnasium, Jogging Track, Squash Court, Tennis Court",", , Near KTM/LRT, , "
Kuala Lumpur  Bukit Jalil,"Minimart, Parking, Playground, Security, Lift, Barbeque area, Multipurpose hall, Jogging Track, Club house",", , Near KTM/LRT, , "
Kuala Lumpur  Bangsar South,,", Near KTM/LRT"
Kuala Lumpur  Sentul,"Minimart, Gymnasium, Swimming Pool, Barbeque area, Playground, Parking, Security, Lift, Multipurpose hall, Club house, Tennis Court, Squash Court",", "
Kuala Lumpur  Setapak,"Parking, Swimming Pool, Playground, Gymnasium, Multipurpose hall, Security",
Kuala Lumpur  Setapak,"Playground, Swimming Pool, Gymnasium, Minimart, Barbeque area, Parking, Security, Lift",", "
Kuala Lumpur  Cheras,"Swimming Pool, Gymnasium, Playground, Barbeque area, Parking, Jogging Track, Lift, Security",", Near KTM/LRT"
Kuala Lumpur  Kepong,"Playground, Lift",", "
Kuala Lumpur  Setapak,"Playground, Barbeque area, Security, Gymnasium, Multipurpose hall, Sauna, Swimming Pool, Jogging Track, Parking",
Kuala Lumpur  Cheras,,", Near KTM/LRT"
Kuala Lumpur  Kepong,,
Kuala Lumpur  Kepong,"Parking, Security, Lift, Playground, Minimart, Multipurpose hall",
Kuala Lumpur  Bukit Jalil,"Lift, Parking, Security, Minimart, Jogging Track",
Kuala Lumpur  Kepong,,
Kuala Lumpur  Wangsa Maju,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall, Jogging Track",", , Near KTM/LRT, "
Kuala Lumpur  Setapak,"Minimart, Club house, Gymnasium, Swimming Pool, Playground, Multipurpose hall",", "
Kuala Lumpur  Pandan Perdana,"Minimart, Security, Squash Court, Parking, Jogging Track, Lift, Tennis Court, Playground, Swimming Pool, Gymnasium, Sauna, Barbeque area, Multipurpose hall",", , Near KTM/LRT, "
Kuala Lumpur  Sentul,,
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Cheras,"Parking, Lift, Playground, Security, Swimming Pool, Gymnasium",
Kuala Lumpur  Kepong,"Playground, Security, Lift, Minimart",
Kuala Lumpur  Sungai Besi,"Security, Swimming Pool, Gymnasium, Parking, Jogging Track, Lift, Playground",", "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall",", "
Kuala Lumpur  Bukit Jalil,"Security, Minimart, Parking, Playground, Lift",", , Near KTM/LRT"
Kuala Lumpur  Ampang,"Security, Parking, Swimming Pool, Lift, Playground",", "
Kuala Lumpur  Cheras,,
Kuala Lumpur  Sri Hartamas,"Security, Playground, Squash Court, Sauna, Swimming Pool, Barbeque area, Gymnasium, Parking, Lift",", "
Kuala Lumpur  Cheras,"Playground, Swimming Pool, Tennis Court, Barbeque area, Lift, Jogging Track, Parking, Security, Multipurpose hall, Gymnasium",", , Near KTM/LRT"
Kuala Lumpur  Bukit Jalil,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Sauna, Multipurpose hall, Jogging Track",", "
Kuala Lumpur  Sentul,"Security, Minimart, Parking, Lift, Swimming Pool, Playground, Multipurpose hall",
Kuala Lumpur  Bukit Jalil,,
Kuala Lumpur  Kepong,"Parking, Security, Lift, Minimart, Multipurpose hall, Playground",", , Near KTM/LRT, , "
Kuala Lumpur  Bukit Jalil,"Multipurpose hall, Security, Parking, Gymnasium, Playground, Lift",
Kuala Lumpur  KL City,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track",", , Near KTM/LRT, , "
Kuala Lumpur  Setapak,"Security, Multipurpose hall, Playground, Swimming Pool, Gymnasium, Lift, Parking, Barbeque area, Minimart",", , Near KTM/LRT"
Kuala Lumpur  Sri Petaling,"Swimming Pool, Barbeque area, Security, Parking, Multipurpose hall, Playground, Lift, Gymnasium, Sauna, Jogging Track",", "
Kuala Lumpur  Taman Melawati,"Swimming Pool, Parking, Security, Playground, Minimart, Gymnasium, Lift",
Kuala Lumpur  Mont Kiara,"Parking, Gymnasium, Security, Minimart, Lift, Jogging Track, Playground, Swimming Pool, Barbeque area",", , , Near KTM/LRT, "
Kuala Lumpur  Wangsa Maju,Parking,
Kuala Lumpur  Kepong,"Parking, Security, Minimart, Swimming Pool",", "
Kuala Lumpur  KL City,"Swimming Pool, Squash Court, Lift, Parking, Security, Minimart, Playground, Gymnasium, Jogging Track",
Kuala Lumpur  Jalan Kuching,"Security, Tennis Court, Jogging Track, Minimart, Sauna, Swimming Pool, Gymnasium, Playground, Barbeque area, Parking",
Kuala Lumpur  Setapak,"Security, Playground, Parking, Lift, Barbeque area, Minimart, Jogging Track",
Kuala Lumpur  Bangsar South,"Security, Jogging Track, Minimart, Parking, Swimming Pool, Lift, Playground, Multipurpose hall, Barbeque area, Sauna, Gymnasium, Club house, Tennis Court, Squash Court",", Near KTM/LRT, , "
Kuala Lumpur  Mont Kiara,"Squash Court, Parking, Tennis Court, Club house, Minimart, Security, Sauna, Playground",", , "
Kuala Lumpur  Ampang,"Parking, Playground, Gymnasium, Jogging Track, Security, Lift, Swimming Pool, Multipurpose hall",", , "
